Modelo,Units,Dropout,LR,Epochs,MAPE,TempoTreino(s)
LSTM,32,0.1,0.001,50,2.4025415532226626,31.046127319335938
LSTM,32,0.1,0.0005,50,2.624232751598462,37.87844228744507
LSTM,32,0.2,0.001,50,2.428205124612895,37.367226362228394
LSTM,32,0.2,0.0005,50,3.6294056383981506,40.84841871261597
LSTM,64,0.1,0.001,50,2.4267848256268447,45.250964403152466
LSTM,64,0.1,0.0005,50,2.5277942800156508,45.602110385894775
LSTM,64,0.2,0.001,50,2.470930195991747,39.545530557632446
LSTM,64,0.2,0.0005,50,2.7059448108272823,41.635560750961304
GRU,32,0.1,0.001,50,1.8445628619321912,36.66494607925415
GRU,32,0.1,0.0005,50,2.076117320298074,38.8763267993927
GRU,32,0.2,0.001,50,2.0644442485203647,38.365171909332275
GRU,32,0.2,0.0005,50,2.233411150217289,38.56901836395264
GRU,64,0.1,0.001,50,2.0171284868484203,48.37366533279419
GRU,64,0.1,0.0005,50,1.965893196052345,42.11768412590027
GRU,64,0.2,0.001,50,2.268823657804197,43.837374448776245
GRU,64,0.2,0.0005,50,2.5737294550497656,42.35877275466919
